web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/whos-who-in-hell-3501,Who's Who in Hell,Ellis Rabb,,Peter Ustinov,Alexander H. CohenandBernard Delfont,"Dec 02, 1974","Dec 09, 1974","Dec 14, 1974",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/good-evening-3658,Good Evening,Jerry Adler,,Dudley MooreandPeter Cook,Alexander H. CohenandBernard Delfont,"Oct 29, 1973","Nov 14, 1973","Nov 30, 1974",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/the-sunshine-boys-3160,The Sunshine Boys,Alan Arkin,,Neil Simon,Emanuel AzenbergandEugene V. Wolsk,"Dec 18, 1972","Dec 20, 1972","Apr 21, 1974",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/the-pajama-game-3663,The Pajama Game,George Abbott,Richard AdlerandJerry Ross,George AbbottandRichard Bissell,Richard AdlerandBert Wood,"Dec 05, 1973","Dec 09, 1973","Feb 03, 1974",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/6-rms-riv-vu-2965,6 Rms Riv Vu,Edwin Sherin,,Bob Randall,Alexander H. CohenandBernard Delfont,"Oct 09, 1972","Oct 17, 1972","May 19, 1973",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/ambassador-3153,Ambassador,Stone Widney,Hal Hackady,Don EttlingerandAnna Marie Barlow,"Gene Dingenary,Miranda D'AnconaandNancy Levering","Nov 02, 1972","Nov 19, 1972","Nov 25, 1972",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/a-funny-thing-happened-on-the-way-to-the-forum-3525,A Funny Thing Happened on the Way to the Forum,Burt Shevelove,Stephen Sondheim,Burt SheveloveandLarry Gelbart,David BlackandLarry Blyden,"Mar 28, 1972","Mar 30, 1972","Aug 12, 1972",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/to-live-another-summer-to-pass-another-winter-3617,"To Live Another Summer, To Pass Another Winter",Jonathan Karmon,Hayim HeferandNaomi Shemer,Hayim Hefer,Leonard Soloway,"Oct 06, 1971","Oct 21, 1971","Mar 19, 1972",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/the-rothschilds-3089,The Rothschilds,Michael Kidd,Sheldon Harnick,Sherman Yellen,Lester Osterman,"Oct 07, 1970","Oct 19, 1970","Jan 01, 1972",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/look-to-the-lilies-3518,Look to the Lilies,Joshua Logan,Sammy Cahn,Leonard Spigelgass,"Edgar Lansbury,Max J. Brown,Richard LewineandRalph Nelson","Mar 29, 1970","Mar 29, 1970","Apr 19, 1970",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/la-strada-3308,La Strada,Alan Schneider,Lionel Bart,"Charles K. Peck, Jr.","Charles K. Peck, Jr.andCanyon Productions, Inc.","Dec 14, 1969","Dec 14, 1969","Dec 14, 1969",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/the-new-music-hall-of-israel-3461,The New Music Hall of Israel,Jonathan Karmon,,,Leon H. Gildin,"Oct 02, 1969","Oct 02, 1969","Nov 29, 1969",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/hamlet-2866,Hamlet,Tony Richardson,,William Shakespeare,"Albert I. Fill,Joseph H. Shoctor,Marcel AkselrodandNorman Twain","May 01, 1969","May 01, 1969","Jun 14, 1969",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/come-summer-2860,Come Summer,Agnes de Mille,Will Holt,Will Holt,Albert W. SeldenandHal James,"Mar 18, 1969","Mar 18, 1969","Mar 22, 1969",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/you-know-i-cant-hear-you-when-the-waters-running-3070,You Know I Can't Hear You When the Water's Running,,,,,,,,2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
