web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/pirates-the-penzance-musical-539492,Pirates! The Penzance Musical,Scott Ellis,Arthur Sullivan,,Roundabout Theatre Company (Todd Haimes: President/CEO [in memoriam],"Apr 04, 2025","Apr 24, 2025","Jul 27, 2025",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/english-539488,English,Knud Adams,,Sanaz Toossi,Roundabout Theatre Company (Todd Haimes: President/CEO [in memoriam],"Jan 03, 2025","Jan 23, 2025","Mar 02, 2025",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/yellow-face-539490,Yellow Face,Leigh Silverman,Caroline EngandKate Marvin,David Henry Hwang,Roundabout Theatre Company (Todd Haimes: President/CEO [in memoriam],"Sep 13, 2024","Oct 01, 2024","Nov 24, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/home-538206,Home,Kenny Leon,,Samm-Art Williams,Roundabout Theatre Company (Todd Haimes: President/CEO [in memoriam],"May 17, 2024","Jun 05, 2024","Jul 21, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/doubt-537819,Doubt,Scott Ellis,,John Patrick Shanley,Roundabout Theatre Company (Todd Haimes: President/CEO [in memoriam],"Feb 03, 2024","Mar 07, 2024","Apr 21, 2024",2025-06-26,Creative Team and Performance Data
