web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/juan-darien-5139,Juan Darien,Julie Taymor,Elliot Goldenthal,Julie TaymorandElliot Goldenthal,Lincoln Center Theater (André Bishop: Artistic Director,"Nov 06, 1996","Nov 24, 1996","Jan 05, 1997",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/its-a-slippery-slope-4803,It's a Slippery Slope,,,Spalding Gray,Lincoln Center Theater (André Bishop: Artistic Director,"Nov 03, 1996","Nov 10, 1996","Jan 06, 1997",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/racing-demon-4317,Racing Demon,Richard Eyre,,David Hare,Lincoln Center Theater (André Bishop: Artistic Director,"Nov 01, 1995","Nov 20, 1995","Dec 31, 1995",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/arcadia-4291,Arcadia,Trevor Nunn,,Tom Stoppard,Lincoln Center Theater (André Bishop: Artistic Director,"Mar 02, 1995","Mar 30, 1995","Aug 27, 1995",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/grays-anatomy-4729,Gray's Anatomy,Reneé Shafransky,,Spalding Gray,Lincoln Center Theater (André Bishop: Artistic Director,"Jun 05, 1994","Jun 05, 1994","Jun 27, 1994",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/carousel-4598,Carousel,Nicholas Hytner,Oscar Hammerstein II,Oscar Hammerstein II,Lincoln Center Theater (André Bishop: Artistic Director,"Feb 18, 1994","Mar 24, 1994","Jan 15, 1995",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/abe-lincoln-in-illinois-4589,Abe Lincoln in Illinois,Gerald Gutierrez,Robert Waldman,Robert E. Sherwood,Lincoln Center Theater (André Bishop: Artistic Director,"Nov 04, 1993","Nov 29, 1993","Jan 02, 1994",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/grays-anatomy-4588,Gray's Anatomy,Reneé Shafransky,,Spalding Gray,Lincoln Center Theater (André Bishop: Artistic Director,"Nov 07, 1993","Nov 28, 1993","Jan 03, 1994",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/in-the-summer-house-4572,In the Summer House,JoAnne Akalaitis,,Jane Bowles,Lincoln Center Theater (André Bishop: Artistic Director,"Jul 08, 1993","Aug 01, 1993","Aug 22, 1993",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/my-favorite-year-4699,My Favorite Year,Ron Lagomarsino,Lynn Ahrens,Joseph Dougherty,Lincoln Center Theater (André Bishop: Artistic Director,"Oct 31, 1992","Dec 10, 1992","Jan 10, 1993",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
