web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/othello-540298,Othello,Kenny Leon,,William Shakespeare,"Kandi Burruss & Todd Tucker,Score 3 Partners,Ken Davenport,Richard Batchelder,Lloyd Tichio Productions,Dominick LaRuffa, Jr.,Lassen D'Arrigo,Adam Zotovich,Lamar Richardson,Lu-Shawn M. Thompson,Cohen Willman Productions,11:11 Experience,42nd.club,The Araca Group,Craig Balsam,Devale & Khadeen Ellis,Goehring Turchin Alperson,Branden Grimmett,Marguerite Steed Hoffman,John Gore Organization,Kierstead Laurence Smigel Rutter,Willette & Manny Klausner,Scott H. Mauro,Stephanie P. McClelland,Carl Moellenberg,Slater Bernon Butterfield,Cynthia Stroum,Ricardo Marques / Lana Williams Woods,Daryl Roth / Tom Tuft,Chimney Town / Timothy Laczynski,Christen James,Renard McGill Productions,Dan Stone,Brian DeVitoandThe Shubert Organization","Feb 24, 2025","Mar 23, 2025","Jun 08, 2025",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/our-town-539295,Our Town,Kenny Leon,,Thornton Wilder,"Samsational Entertainment,Louise Gund,Eric Falkenstein,Suzanne Grant,Patty Baker,Daryl Roth / Tom Tuft,Ronald Frankel,Rebecca Gold,Gabrielle Palitz,Brunish-Rooney-Hui / Laura Little,Thom and Karen Lauzon,Pamela Hurst-Della Pietra & Stephen Della Pietra,Score 3 Partners,Secret Hideout,David S. Stone,Craig Balsam,John Gore Organization,Caiola Productions,Concord Theatricals,Melissa & Bradford Coolidge,Irene Gandy,Kenny Leon,Willette & Manny Klausner,Andrew Marderian-Davis,Ellen Susman,Leslie Rainbolt,Randy Jones Toll & Steven Toll,James S. Levine,Hank & Kara Steinberg,Alexander ""Sandy"" Marshall,Ken & Rande Greiner / David Schwartz & Trudy Zohn,Patrick W. Jones,Maia Kayla Glasman,Brandon J. SchwartzandThe Shubert Organization","Sep 17, 2024","Oct 10, 2024","Jan 19, 2025",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/patriots-538736,Patriots,Rupert Goold,,Peter Morgan,Sonia Friedman Productions,"Apr 01, 2024","Apr 22, 2024","Jun 23, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/harmony-537186,Harmony,Warren Carlyle,Bruce Sussman,Bruce Sussman,"Ken Davenport,Sandi MoranandGarry Kief","Oct 18, 2023","Nov 13, 2023","Feb 04, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/el-mago-pop-536773,El Mago Pop,Mag Lari,,,Antonio Díaz,"Aug 17, 2023","Aug 20, 2023","Aug 27, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/peter-pan-goes-wrong-536073,Peter Pan Goes Wrong,Adam Meggido,,"Henry Lewis,Jonathan SayerandHenry Shields","Stage Presence Ltd.,Catherine Schreiber,Greenleaf Productions,Bard Theatricals,Jamie deRoy,Mischief,Wendy Federman / Richard Batchelder,Jack Lane / John Yonover,Tulchin Bartner Productions,Dean Roth / 42nd.club,Martian Entertainment / Daniel Radford,Tom Smedes & Peter R. Stern / Thomas S. Perakos,Ken and Rosemary Willman / Nicole Eisenberg,LAMS Productions / Ayal MiodovnikandLucas McMahon","Mar 17, 2023","Apr 19, 2023","Jul 23, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-piano-lesson-534566,The Piano Lesson,LaTanya Richardson Jackson,,August Wilson,"Brian Anthony Moreland,Sonia Friedman,Tom KirdahyandKandi Burruss & Todd Tucker","Sep 19, 2022","Oct 13, 2022","Jan 29, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/paradise-square-531770,Paradise Square,Moisés Kaufman,Nathan TysenandMasi Asare,"Christina Anderson,Craig LucasandLarry Kirwan",Garth H. Drabinsky,"Mar 15, 2022","Apr 03, 2022","Jul 17, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/waitress-531975,Waitress,Diane Paulus,Sara Bareilles,Jessie Nelson,"Barry & Fran Weissler,Norton and Elayne Herrick,David I. Berley,Independent Presenters Network,A.C. Orange International,Peter May,Michael Roiff,Ken Schur,Marisa Sechrest,Jam Theatricals,42nd.club / Square 1 Theatrics,Benjamin Simpson & Joseph Longthorne / Shira FriedmanandAmerican Repertory Theater","Sep 02, 2021","Sep 02, 2021","Dec 20, 2021",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-inheritance-522863,The Inheritance,Stephen Daldry,Paul Englishby,Matthew López,"Tom Kirdahy,Sonia Friedman Productions,Hunter Arnold,Elizabeth Dewberry & Ali Ahmet Kocabiyik,1001 Nights Productions,Robert Greenblatt,Mark Lee,Peter May,Scott Rudin,Richard Winkler,Bruce Cohen,Mara Isaacs,Greg Berlanti & Robbie Rogers,Brad Blume,Burnt Umber Productions,Shane Ewen,Greenleaf Productions,Marguerite Hoffman,Oliver Roth,Joseph Baker/Drew Hodges,Stephanie P. McClelland,Broadway Strategic Return Fund,Caiola Productions,Mary J. Davis,Kayla Greenspan,Fakston Productions,FBK Productions,Sally Cade Holmes,Benjamin Lowy,MWM Live,Lee & Alec Seymour,Lorenzo Thione,Sing Out, Louise! Productions,AB Company/Julie Boardman,Adam Zell & Co./ZKM Media,Jamie deRoy / Catherine Adler,DeSantis-Baugh Productions/Adam Hyndman,Gary DiMauro/Meredith Lynsey Schade,Ronald Frankel/Seriff Productions,John Goldwyn/Silva Theatrical Group,Deborah Green/Christina Mattsson,Cliff Hopkins/George Scarles,Invisible Wall Productions/Lauren Stein,Sharon Karmazin/Broadway Factor NYC,Brian Spector/Madeleine Foster Bersin,Undivided Productions/Hysell Dohr Group,UshkowitzLatimer Productions/Tyler MountandThe Young Vic (Kwame Kwei-Armah, Artistic Director","Sep 27, 2019","Nov 17, 2019","Mar 11, 2020",2025-06-26,Creative Team and Performance Data
