web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/real-women-have-curves-the-musical-540775,Real Women Have Curves: The Musical,Sergio Trujillo,Joy HuertaandBenjamin Velez,Lisa Loomer,"Stan Ponte,Las Mujeres Garza,HGH Productions,Weller / Harney,Erin & Ramesh Narasimhan,John Gore Organization,HarbourView,Ira Pittelman,Stacie & Steven Weisbrot,Michael Valdes,Michael P. Kruke,Nederlander Presentations, Inc.,Jayne Baron Sherman,Armstrong / Manocherian,Danielle Del,Emerald Drive,Independent Presenters Network,Just For Laughs,Gerry & Jared King,Scott & Debbie Klein,Yael & Ira Kleinman,Peter May,Bob & Alison Murchison,Kari Nettles,Próspero Teatro / La Gran Audiencia,Philip & James DeCarlo-Schnepper,Wes & Elizabeth Riley,Lilli & Jonathan Roth,Catherine & Michael T. Sheehan,Jeffrey A. Sine,Spoke Media / Carlos Arana,Gina Vernaci,Amy Wen / Denoff,Jaime Camil,Alicia Menendez,Angélica ValeandThe Shubert Organization","Apr 01, 2025","Apr 27, 2025","Jun 29, 2025",2025-06-26,Creative Team and Performance Data,James Earl Jones Theatre
https://www.ibdb.com/broadway-production/left-on-tenth-539931,Left on Tenth,Susan Stroman,,Delia Ephron,"Bob Boyett,Peter May,Jordan Roth,Tom Tuft,Elizabeth Armstrong,Caiola Productions,Gayle Cohen Heller,Dale Franzen,John Gore Organization,Jodi Kaplan,Jennifer Kroman,Willette & Manny Klausner,Sheldon Stone,Marcy Syms,Douglas DenoffandRita Wilson","Sep 26, 2024","Oct 23, 2024","Feb 02, 2025",2025-06-26,Creative Team and Performance Data,James Earl Jones Theatre
https://www.ibdb.com/broadway-production/the-heart-of-rock-and-roll-538376,The Heart of Rock and Roll,Gordon Greenberg,Brian Usifer,Jonathan A. Abrams,"Tyler Mitchell,Hunter ArnoldandKayla Greenspan","Mar 29, 2024","Apr 22, 2024","Jun 23, 2024",2025-06-26,Creative Team and Performance Data,James Earl Jones Theatre
https://www.ibdb.com/broadway-production/gutenberg-the-musical-537495,Gutenberg! The Musical!,Alex Timbers,Scott BrownandAnthony King,Scott BrownandAnthony King,"Ambassador Theatre Group,Patrick Catullo,Bad Robot Live,Seth  A. Goldstein,Isaac Robert Hurwitz,Runyonland Productions,Kristin Caskey,Mike IsaacsonandBee Carrozzini","Sep 15, 2023","Oct 12, 2023","Jan 28, 2024",2025-06-26,Creative Team and Performance Data,James Earl Jones Theatre
https://www.ibdb.com/broadway-production/the-sign-in-sidney-brusteins-window-536893,The Sign in Sidney Brustein's Window,Anne Kauffman,,Lorraine Hansberry,"Seaview,Sue Wagner,John Johnson,Phil Kenny,Audible,Sony Music Masterworks,Jillian Robbins,Jeremy O. Harris,Larry Hirschhorn and Ricardo Hornos,Shields Smedes Stern Ltd.,Kevin Ryan,The Shubert Organization,Willette and Manny Klausner,Marco Santarelli,Be Forward Productions,Concord Theatricals,Creative Partners Productions,Invisible Wall Productions,Salman and Moudhy Al-Rashid,TodayTix Group,Ido Gal,HarrisDonnelly,Sally Cade Holmes,Stella LaRue,LAMF Protozoa,Kati Meister and John Sorkin,Meredith Lynsey Schade,Catherine Schreiber,Dennis Trunfio,MCM Studios,42nd.club,BAMM Productions,CarterMackTaylorWillman,HB2M Productions,HK-Undivided Productions,MAJIKK Theatricals,Tanker Kollev Productions,Douglas Denoff,OHenry Productions,Plate Spinner Productions,Runyonland Productions,Mad Gene Media,Scrap Paper Pictures,Joi GreshamandBrooklyn Academy of Music (Gina Duncan, President","Apr 25, 2023","Apr 27, 2023","Jul 02, 2023",2025-06-26,Creative Team and Performance Data,James Earl Jones Theatre
https://www.ibdb.com/broadway-production/ohio-state-murders-535133,Ohio State Murders,Kenny Leon,,Adrienne Kennedy,"Jeffrey Richards,Lincoln Center Theater (André Bishop: Producing Artistic Director","Nov 11, 2022","Dec 08, 2022","Jan 15, 2023",2025-06-26,Creative Team and Performance Data,James Earl Jones Theatre
