Title,web_Link
Noël Coward's Sweet Potato,https://www.ibdb.com/broadway-production/nol-cowards-sweet-potato-3413
The Flip Side,https://www.ibdb.com/broadway-production/the-flip-side-3424
Leonard Sillman's New Faces of 1968,https://www.ibdb.com/broadway-production/leonard-sillmans-new-faces-of-1968-3395
Avanti!,https://www.ibdb.com/broadway-production/avanti-3119
The Birthday Party,https://www.ibdb.com/broadway-production/the-birthday-party-2952
The Girl in the Freudian Slip,https://www.ibdb.com/broadway-production/the-girl-in-the-freudian-slip-2945
At the Drop of Another Hat,https://www.ibdb.com/broadway-production/at-the-drop-of-another-hat-3364
Hail Scrawdyke!,https://www.ibdb.com/broadway-production/hail-scrawdyke-3356
Help Stamp Out Marriage!,https://www.ibdb.com/broadway-production/help-stamp-out-marriage-3289
Luv,https://www.ibdb.com/broadway-production/luv-2832
Roar Like a Dove,https://www.ibdb.com/broadway-production/roar-like-a-dove-3201
Chips With Everything,https://www.ibdb.com/broadway-production/chips-with-everything-3022
Once for the Asking,https://www.ibdb.com/broadway-production/once-for-the-asking-3046
Spoon River Anthology,https://www.ibdb.com/broadway-production/spoon-river-anthology-3020
Rattle of a Simple Man,https://www.ibdb.com/broadway-production/rattle-of-a-simple-man-3005
Natural Affection,https://www.ibdb.com/broadway-production/natural-affection-2983
"Tiger, Tiger Burning Bright",https://www.ibdb.com/broadway-production/tiger-tiger-burning-bright-2973
A Shot in the Dark,https://www.ibdb.com/broadway-production/a-shot-in-the-dark-2887
A Taste of Honey,https://www.ibdb.com/broadway-production/a-taste-of-honey-2255
"Julia, Jake and Uncle Joe",https://www.ibdb.com/broadway-production/julia-jake-and-uncle-joe-2288
The Tenth Man,https://www.ibdb.com/broadway-production/the-tenth-man-2794
Two for the Seesaw,https://www.ibdb.com/broadway-production/two-for-the-seesaw-2666
A Visit to a Small Planet,https://www.ibdb.com/broadway-production/a-visit-to-a-small-planet-2611
The Matchmaker,https://www.ibdb.com/broadway-production/the-matchmaker-2561
Autobiography,https://www.ibdb.com/broadway-production/autobiography-2563
Time Limit!,https://www.ibdb.com/broadway-production/time-limit-2398
Red Roses for Me,https://www.ibdb.com/broadway-production/red-roses-for-me-2393
The Heavenly Twins,https://www.ibdb.com/broadway-production/the-heavenly-twins-2548
The Wooden Dish,https://www.ibdb.com/broadway-production/the-wooden-dish-2535
Anniversary Waltz,https://www.ibdb.com/broadway-production/anniversary-waltz-2447
All Summer Long,https://www.ibdb.com/broadway-production/all-summer-long-2459
Home Is the Hero,https://www.ibdb.com/broadway-production/home-is-the-hero-2458
The Magic and The Loss,https://www.ibdb.com/broadway-production/the-magic-and-the-loss-2449
"Dial ""M"" for Murder",https://www.ibdb.com/broadway-production/dial-m-for-murder-2350
Late Love,https://www.ibdb.com/broadway-production/late-love-2375
An Evening With Beatrice Lillie,https://www.ibdb.com/broadway-production/an-evening-with-beatrice-lillie-2337
Conscience,https://www.ibdb.com/broadway-production/conscience-2328
To Be Continued,https://www.ibdb.com/broadway-production/to-be-continued-2065
Paris '90,https://www.ibdb.com/broadway-production/paris-90-2183
Collector's Item,https://www.ibdb.com/broadway-production/collectors-item-2176
Lo and Behold!,https://www.ibdb.com/broadway-production/lo-and-behold-1983
Never Say Never,https://www.ibdb.com/broadway-production/never-say-never-1976
Lace on Her Petticoat,https://www.ibdb.com/broadway-production/lace-on-her-petticoat-1953
Season in the Sun,https://www.ibdb.com/broadway-production/season-in-the-sun-2161
Springtime for Henry,https://www.ibdb.com/broadway-production/springtime-for-henry-1931
Angel in the Pawnshop,https://www.ibdb.com/broadway-production/angel-in-the-pawnshop-1907
Edwina Black,https://www.ibdb.com/broadway-production/edwina-black-1889
The Day After Tomorrow,https://www.ibdb.com/broadway-production/the-day-after-tomorrow-1876
"Come Back, Little Sheba",https://www.ibdb.com/broadway-production/come-back-little-sheba-1867
The Velvet Glove,https://www.ibdb.com/broadway-production/the-velvet-glove-1848
"Yes, M'Lord",https://www.ibdb.com/broadway-production/yes-mlord-2119
At War With the Army,https://www.ibdb.com/broadway-production/at-war-with-the-army-1825
King Richard III,https://www.ibdb.com/broadway-production/king-richard-iii-2109
The Shop at Sly Corner,https://www.ibdb.com/broadway-production/the-shop-at-sly-corner-2102
"Don't Listen, Ladies",https://www.ibdb.com/broadway-production/dont-listen-ladies-2052
The Play's the Thing,https://www.ibdb.com/broadway-production/the-plays-the-thing-1998
The Rats of Norway,https://www.ibdb.com/broadway-production/the-rats-of-norway-1993
The Hallams,https://www.ibdb.com/broadway-production/the-hallams-1811
Doctor Social,https://www.ibdb.com/broadway-production/doctor-social-1655
Power Without Glory,https://www.ibdb.com/broadway-production/power-without-glory-1637
An Inspector Calls,https://www.ibdb.com/broadway-production/an-inspector-calls-12862
Duet for Two Hands,https://www.ibdb.com/broadway-production/duet-for-two-hands-1574
Portrait in Black,https://www.ibdb.com/broadway-production/portrait-in-black-1552
Tenting Tonight,https://www.ibdb.com/broadway-production/tenting-tonight-1540
John Loves Mary,https://www.ibdb.com/broadway-production/john-loves-mary-1514
The Big Two,https://www.ibdb.com/broadway-production/the-big-two-1505
The Playboy of the Western World,https://www.ibdb.com/broadway-production/the-playboy-of-the-western-world-1471
The Bees and the Flowers,https://www.ibdb.com/broadway-production/the-bees-and-the-flowers-1456
Swan Song,https://www.ibdb.com/broadway-production/swan-song-1439
He Who Gets Slapped,https://www.ibdb.com/broadway-production/he-who-gets-slapped-1779
The Would-Be Gentleman,https://www.ibdb.com/broadway-production/the-would-be-gentleman-1762
You Touched Me,https://www.ibdb.com/broadway-production/you-touched-me-1725
The Wind Is Ninety,https://www.ibdb.com/broadway-production/the-wind-is-ninety-1714
Foxhole in the Parlor,https://www.ibdb.com/broadway-production/foxhole-in-the-parlor-1702
The Deep Mrs. Sykes,https://www.ibdb.com/broadway-production/the-deep-mrs-sykes-1684
The Overtons,https://www.ibdb.com/broadway-production/the-overtons-1671
The Two Mrs. Carrolls,https://www.ibdb.com/broadway-production/the-two-mrs-carrolls-1301
Those Endearing Young Charms,https://www.ibdb.com/broadway-production/those-endearing-young-charms-1295
Blithe Spirit,https://www.ibdb.com/broadway-production/blithe-spirit-1127
Autumn Hill,https://www.ibdb.com/broadway-production/autumn-hill-1186
Claudia,https://www.ibdb.com/broadway-production/claudia-1080
The Cream in the Well,https://www.ibdb.com/broadway-production/the-cream-in-the-well-1071
Ruth Draper,https://www.ibdb.com/broadway-production/ruth-draper-1048
Glamour Preferred,https://www.ibdb.com/broadway-production/glamour-preferred-1033
Boyd's Daughter,https://www.ibdb.com/broadway-production/boyds-daughter-1020
The Time of Your Life,https://www.ibdb.com/broadway-production/the-time-of-your-life-1015
Two For The Show,https://www.ibdb.com/broadway-production/two-for-the-show-13230
The Time of Your Life,https://www.ibdb.com/broadway-production/the-time-of-your-life-13201
One For the Money,https://www.ibdb.com/broadway-production/one-for-the-money-12425
Here Come the Clowns,https://www.ibdb.com/broadway-production/here-come-the-clowns-11222
Dame Nature,https://www.ibdb.com/broadway-production/dame-nature-12380
You Can't Take It With You,https://www.ibdb.com/broadway-production/you-cant-take-it-with-you-9741
Swing Your Lady,https://www.ibdb.com/broadway-production/swing-your-lady-11211
The Golden Journey,https://www.ibdb.com/broadway-production/the-golden-journey-12146
Sweet Aloes,https://www.ibdb.com/broadway-production/sweet-aloes-12102
Lady Precious Stream,https://www.ibdb.com/broadway-production/lady-precious-stream-12065
Ruth Draper,https://www.ibdb.com/broadway-production/ruth-draper-12061
Mid-West,https://www.ibdb.com/broadway-production/mid-west-12054
The Season Changes,https://www.ibdb.com/broadway-production/the-season-changes-12046
How Beautiful With Shoes,https://www.ibdb.com/broadway-production/how-beautiful-with-shoes-12035
Night In the House,https://www.ibdb.com/broadway-production/night-in-the-house-12021
Blind Alley,https://www.ibdb.com/broadway-production/blind-alley-11989
Kind Lady,https://www.ibdb.com/broadway-production/kind-lady-9738
Mansion on the Hudson,https://www.ibdb.com/broadway-production/mansion-on-the-hudson-9731
De Luxe,https://www.ibdb.com/broadway-production/de-luxe-9723
Laburnum Grove,https://www.ibdb.com/broadway-production/laburnum-grove-7926
The Distaff Side,https://www.ibdb.com/broadway-production/the-distaff-side-11918
Kill That Story,https://www.ibdb.com/broadway-production/kill-that-story-11913
The Shining Hour,https://www.ibdb.com/broadway-production/the-shining-hour-11835
No More Ladies,https://www.ibdb.com/broadway-production/no-more-ladies-11826
The First Apple,https://www.ibdb.com/broadway-production/the-first-apple-11808
I Was Waiting for You,https://www.ibdb.com/broadway-production/i-was-waiting-for-you-11790
Give Us This Day,https://www.ibdb.com/broadway-production/give-us-this-day-11780
Heat Lightning,https://www.ibdb.com/broadway-production/heat-lightning-11755
Candide,https://www.ibdb.com/broadway-production/candide-9703
For Services Rendered,https://www.ibdb.com/broadway-production/for-services-rendered-11749
Our Wife,https://www.ibdb.com/broadway-production/our-wife-11730
Dorothy Sands,https://www.ibdb.com/broadway-production/dorothy-sands-11184
Girls in Uniform,https://www.ibdb.com/broadway-production/girls-in-uniform-11703
Another Language,https://www.ibdb.com/broadway-production/another-language-11535
Styles in Acting,https://www.ibdb.com/broadway-production/styles-in-acting-11523
We Are No Longer Children,https://www.ibdb.com/broadway-production/we-are-no-longer-children-11520
The Fatal Alibi,https://www.ibdb.com/broadway-production/the-fatal-alibi-7904
Jewel Robbery,https://www.ibdb.com/broadway-production/jewel-robbery-11487
Society Girl,https://www.ibdb.com/broadway-production/society-girl-11475
If Love Were All,https://www.ibdb.com/broadway-production/if-love-were-all-10413
After All,https://www.ibdb.com/broadway-production/after-all-11454
The Breadwinner,https://www.ibdb.com/broadway-production/the-breadwinner-11169
A Modern Virgin,https://www.ibdb.com/broadway-production/a-modern-virgin-11375
Paging Danger,https://www.ibdb.com/broadway-production/paging-danger-11329
The Man in Possession,https://www.ibdb.com/broadway-production/the-man-in-possession-11251
Uncle Vanya,https://www.ibdb.com/broadway-production/uncle-vanya-9441
Lady Clara,https://www.ibdb.com/broadway-production/lady-clara-11104
The Royal Virgin,https://www.ibdb.com/broadway-production/the-royal-virgin-11078
Koi-No-Yozakura,https://www.ibdb.com/broadway-production/koi-no-yozakura-13373
Kage-No-Chikara,https://www.ibdb.com/broadway-production/kage-no-chikara-13374
Matsuri,https://www.ibdb.com/broadway-production/matsuri-13375
